feature,coefficient,model,feature_set
able,-0.7764308330565115,logistic_regression,tfidf_plus_vader
absolute,-1.2928112138872048,logistic_regression,tfidf_plus_vader
account,1.4140463690978495,logistic_regression,tfidf_plus_vader
action,0.2534518583069862,logistic_regression,tfidf_plus_vader
additional,0.2816252894075607,logistic_regression,tfidf_plus_vader
address,-0.7639432242735431,logistic_regression,tfidf_plus_vader
advice,0.6220704171602124,logistic_regression,tfidf_plus_vader
agent,0.7777615173487115,logistic_regression,tfidf_plus_vader
answer,0.3699378960949068,logistic_regression,tfidf_plus_vader
app,1.0395554407965037,logistic_regression,tfidf_plus_vader
appalling,0.3556431564100217,logistic_regression,tfidf_plus_vader
area,-2.38912658755463,logistic_regression,tfidf_plus_vader
available,0.48572498166444833,logistic_regression,tfidf_plus_vader
awful,0.38570951095296735,logistic_regression,tfidf_plus_vader
bad,0.35565827006257994,logistic_regression,tfidf_plus_vader
bad customer,0.4710412794257179,logistic_regression,tfidf_plus_vader
bad experience,-0.07722683152280618,logistic_regression,tfidf_plus_vader
bad service,0.3430818695987134,logistic_regression,tfidf_plus_vader
balance,0.3276811266892284,logistic_regression,tfidf_plus_vader
bank,0.6111545189871079,logistic_regression,tfidf_plus_vader
basic,-0.13148508969560985,logistic_regression,tfidf_plus_vader
big,-0.28601944799471024,logistic_regression,tfidf_plus_vader
bill,0.6391040882061879,logistic_regression,tfidf_plus_vader
billing,-0.07246610749035208,logistic_regression,tfidf_plus_vader
branch,0.45713983486287674,logistic_regression,tfidf_plus_vader
broadband,0.35393077257186434,logistic_regression,tfidf_plus_vader
business,0.029285357331487235,logistic_regression,tfidf_plus_vader
call,-0.1295492397722001,logistic_regression,tfidf_plus_vader
cancel,0.3429325404568618,logistic_regression,tfidf_plus_vader
cancel account,0.20957622268389284,logistic_regression,tfidf_plus_vader
cancel plan,0.11103842279729913,logistic_regression,tfidf_plus_vader
cancel service,0.06492748340203332,logistic_regression,tfidf_plus_vader
cancellation,0.31456442366628184,logistic_regression,tfidf_plus_vader
card,0.1673474484475121,logistic_regression,tfidf_plus_vader
care,0.43960658207935616,logistic_regression,tfidf_plus_vader
case,0.5024910098858041,logistic_regression,tfidf_plus_vader
center,-0.30770896747763693,logistic_regression,tfidf_plus_vader
centre,0.7260004957743514,logistic_regression,tfidf_plus_vader
change,1.2257009153028031,logistic_regression,tfidf_plus_vader
charge,1.2682425687742227,logistic_regression,tfidf_plus_vader
charge month,0.2339440523572857,logistic_regression,tfidf_plus_vader
chat,0.9031203915940792,logistic_regression,tfidf_plus_vader
cheap,0.6265514780732745,logistic_regression,tfidf_plus_vader
clear,-0.7369489446262797,logistic_regression,tfidf_plus_vader
code,0.4615960567581818,logistic_regression,tfidf_plus_vader
communication,0.4232723371721699,logistic_regression,tfidf_plus_vader
complaint,-2.0478216399890075,logistic_regression,tfidf_plus_vader
complete,0.33751133221633334,logistic_regression,tfidf_plus_vader
confirmation,0.20857147725500716,logistic_regression,tfidf_plus_vader
connection,-1.6559674217540636,logistic_regression,tfidf_plus_vader
contact,-0.04572177053480171,logistic_regression,tfidf_plus_vader
contract,0.8616632810662851,logistic_regression,tfidf_plus_vader
conversation,0.26267900637195074,logistic_regression,tfidf_plus_vader
correct,-0.3179904031816184,logistic_regression,tfidf_plus_vader
cost,-0.24072215214401083,logistic_regression,tfidf_plus_vader
country,0.28002089720258455,logistic_regression,tfidf_plus_vader
coverage,-0.014305369270162545,logistic_regression,tfidf_plus_vader
crap,0.2775292361664015,logistic_regression,tfidf_plus_vader
credit,0.3989691610592838,logistic_regression,tfidf_plus_vader
customer,0.31383682368337656,logistic_regression,tfidf_plus_vader
customer care,0.44877051128380946,logistic_regression,tfidf_plus_vader
customer service,0.34111706076815734,logistic_regression,tfidf_plus_vader
customer support,0.3252972385185368,logistic_regression,tfidf_plus_vader
customer year,0.28220240840923694,logistic_regression,tfidf_plus_vader
data,-0.07560988255576295,logistic_regression,tfidf_plus_vader
date,-0.9334739973550229,logistic_regression,tfidf_plus_vader
datum,0.4279491981788353,logistic_regression,tfidf_plus_vader
day,0.7095035746034101,logistic_regression,tfidf_plus_vader
deal,0.2239757257485244,logistic_regression,tfidf_plus_vader
debt,-0.38161839010391624,logistic_regression,tfidf_plus_vader
department,0.39453996177655704,logistic_regression,tfidf_plus_vader
detail,-0.1705070493094597,logistic_regression,tfidf_plus_vader
device,-0.1073398012371042,logistic_regression,tfidf_plus_vader
different,0.694820583986358,logistic_regression,tfidf_plus_vader
difficult,0.4384503844322959,logistic_regression,tfidf_plus_vader
disappointed,0.14857202805213246,logistic_regression,tfidf_plus_vader
disconnect,0.1932776821341598,logistic_regression,tfidf_plus_vader
discount,0.32861882620663124,logistic_regression,tfidf_plus_vader
disgusting,0.364378280475049,logistic_regression,tfidf_plus_vader
dollar,0.3917273852335745,logistic_regression,tfidf_plus_vader
download,0.14356871168182894,logistic_regression,tfidf_plus_vader
easy,-0.7775771532972879,logistic_regression,tfidf_plus_vader
email,1.1090314775106946,logistic_regression,tfidf_plus_vader
end,0.2192258369153196,logistic_regression,tfidf_plus_vader
error,0.3439914870045811,logistic_regression,tfidf_plus_vader
excellent,-1.4421237042630537,logistic_regression,tfidf_plus_vader
expensive,0.3656047145580406,logistic_regression,tfidf_plus_vader
experience,-0.23813169209692736,logistic_regression,tfidf_plus_vader
extra,0.6440992144594622,logistic_regression,tfidf_plus_vader
fact,-0.06367603614800514,logistic_regression,tfidf_plus_vader
fair,0.25199154766020276,logistic_regression,tfidf_plus_vader
family,0.0012335040302959724,logistic_regression,tfidf_plus_vader
fault,0.554772105259938,logistic_regression,tfidf_plus_vader
fee,0.7659861903477059,logistic_regression,tfidf_plus_vader
fiber,0.15993553026144156,logistic_regression,tfidf_plus_vader
fibre,-0.057623504251032166,logistic_regression,tfidf_plus_vader
fine,0.5059211946871264,logistic_regression,tfidf_plus_vader
free,-0.2492094996073419,logistic_regression,tfidf_plus_vader
friend,0.15613579372458913,logistic_regression,tfidf_plus_vader
friendly,-0.9753126886751328,logistic_regression,tfidf_plus_vader
frustrating,0.2681552846367536,logistic_regression,tfidf_plus_vader
frustration,0.37242960754476784,logistic_regression,tfidf_plus_vader
gb,-0.8415196233671315,logistic_regression,tfidf_plus_vader
good,-1.7559313374732786,logistic_regression,tfidf_plus_vader
great,-2.364206626982853,logistic_regression,tfidf_plus_vader
guy,-0.7028707389028153,logistic_regression,tfidf_plus_vader
half,0.16055587040099226,logistic_regression,tfidf_plus_vader
happy,-1.5378880339498229,logistic_regression,tfidf_plus_vader
hard,0.06037275564132382,logistic_regression,tfidf_plus_vader
help,0.079955670210136,logistic_regression,tfidf_plus_vader
helpful,-1.9663792244819778,logistic_regression,tfidf_plus_vader
high,-1.277071066298527,logistic_regression,tfidf_plus_vader
hold,1.0581819852624426,logistic_regression,tfidf_plus_vader
home,-0.057882997193819674,logistic_regression,tfidf_plus_vader
horrible,0.5563876388729906,logistic_regression,tfidf_plus_vader
